country,x,y,technology,capacity,unit,quality,company,location,start year,Latest renovation year,Source,Comments
BR,-44.941444,-21.192856,Industry NMM Cement,0,Mt/yr,estimated,InterCement do Brasil S.A.,Ijaci,,,,
BR,-49.777486,-17.008795,Industry NMM Cement,0,Mt/yr,estimated,InterCement do Brasil S.A.,Cezarina,,,,
BR,-44.028073,-19.627438,Industry NMM Cement,0,Mt/yr,estimated,InterCement do Brasil S.A.,Pedro Leopoldo,,,,
BR,-42.483706,-19.480621,Industry NMM Cement,0,Mt/yr,estimated,InterCement do Brasil S.A.,Santana do Paraíso,,,,
BR,-41.600963,-14.199433,Industry NMM Cement,0,Mt/yr,estimated,InterCement do Brasil S.A.,Brumado,,,,
BR,-40.328379,-10.50972,Industry NMM Cement,0,Mt/yr,estimated,InterCement do Brasil S.A.,Campo Formoso,,,,
BR,-36.148924,-9.762219,Industry NMM Cement,0,Mt/yr,estimated,InterCement do Brasil S.A.,São Miguel dos Campos,,,,
BR,-34.895573,-7.127092,Industry NMM Cement,0,Mt/yr,estimated,InterCement do Brasil S.A.,Cabo de Santo Agostinho,,,,
BR,-34.993018,-8.32747,Industry NMM Cement,0,Mt/yr,estimated,InterCement do Brasil S.A.,João Pessoa,,,,
BR,-41.11925,-20.78668,Industry NMM Cement,6.01,Mt/yr,estimated,Cimento Nassau,Cachoeiro de Itapemirim,,,,
BR,-40.068862,-19.385307,Industry NMM Cement,0,Mt/yr,estimated,Cimento Nassau,Nossa Senhora do Socorro,,,,
BR,-35.021001,-7.561968,Industry NMM Cement,0,Mt/yr,estimated,Cimento Nassau,Goiana,,,,
BR,-39.283412,-7.226158,Industry NMM Cement,0,Mt/yr,estimated,Cimento Nassau,Barbalha,,,,
BR,-40.520009,-6.953422,Industry NMM Cement,0,Mt/yr,estimated,Cimento Nassau,Fronteiras,,,,
BR,-37.393893,-5.20203,Industry NMM Cement,0,Mt/yr,estimated,Cimento Nassau,Mossoró,,,,
BR,-43.893259,-4.45395,Industry NMM Cement,0,Mt/yr,estimated,Cimento Nassau,Codó,,,,
BR,-48.497404,-1.430488,Industry NMM Cement,0,Mt/yr,estimated,Cimento Nassau,Capanema,,,,
BR,-55.989937,-4.264865,Industry NMM Cement,0,Mt/yr,estimated,Cimento Nassau,Itaituba,,,,
BR,-59.916279,-3.091615,Industry NMM Cement,0,Mt/yr,estimated,Cimento Nassau,Manaus,,,,
BR,-47.418674,-23.517008,Industry NMM Cement,10.4,Mt/yr,estimated,LafargeHolcim Brasil S.A.,Sorocaba,,,,
BR,-42.273756,-21.941023,Industry NMM Cement,0,Mt/yr,estimated,LafargeHolcim Brasil S.A.,Cantagalo,,,,
BR,-43.980149,-21.182541,Industry NMM Cement,0,Mt/yr,estimated,LafargeHolcim Brasil S.A.,Barroso,,,,
BR,-40.251851,-20.161373,Industry NMM Cement,0,Mt/yr,estimated,LafargeHolcim Brasil S.A.,Serra,,,,
BR,-44.057714,-19.608105,Industry NMM Cement,0,Mt/yr,estimated,LafargeHolcim Brasil S.A.,Pedro Leopoldo,,,,
